frame,x1,y1,x2,y2,label
5,124,424,168,470,2
17,138,296,174,333,
29,147,430,184,465,3
37,139,353,173,386,
47,130,426,163,462,2
56,154,371,187,404,
64,177,429,212,463,3
74,179,326,215,363,
83,177,407,215,445,2
94,184,279,217,310,
99,186,288,217,318,5
106,175,257,207,289,
112,166,298,197,329,4
120,147,234,181,267,
128,132,289,164,322,4
139,118,179,155,217,
149,110,287,144,321,4
157,144,219,181,256,
164,177,268,214,304,5
173,165,201,203,239,
181,151,281,189,318,4
195,219,46,257,89,
207,265,177,303,213,6
214,286,130,327,172,
226,319,286,358,328,5
