frame,x,y
0,227,421
1,226,423
2,228,427
3,229,433
4,229,441
5,231,450
6,232,454
7,232,441
8,233,429
9,232,419
10,231,410
11,231,406
12,230,402
13,231,402
14,233,404
15,232,405
16,230,406
17,230,413
18,230,421
19,230,432
20,230,444
21,230,458
22,230,452
23,230,438
24,231,426
25,235,416
26,236,406
27,237,401
28,239,398
29,241,397
30,244,397
31,245,398
32,247,403
33,249,412
34,249,420
35,251,429
36,251,441
37,252,439
38,252,424
39,253,413
40,252,402
41,253,394
42,255,386
43,255,382
44,255,379
45,257,379
46,258,383
47,257,386
48,256,391
49,255,400
50,256,410
51,255,422
52,256,435
53,256,451
54,259,441
55,261,423
56,263,407
57,266,393
58,269,382
59,272,372
60,276,365
61,277,359
62,281,357
63,283,355
64,285,355
65,287,358
66,289,364
67,291,371
68,293,381
69,296,392
70,299,406
71,301,421
72,300,424
73,293,401
74,285,378
75,276,357
76,267,338
77,260,321
78,252,306
79,244,295
80,235,284
81,227,276
82,218,270
83,211,266
84,203,265
85,195,265
86,186,267
87,177,271
88,169,277
89,162,286
90,155,291
91,151,276
92,145,260
93,141,245
94,136,233
95,131,221
96,125,212
97,120,206
98,114,201
99,110,198
100,105,199
101,100,202
102,96,206
103,91,212
104,86,220
105,82,231
106,77,243
107,72,258
108,67,273
109,63,292
110,59,313
111,54,335
112,50,358
113,46,385
114,41,412
115,39,404
116,40,386
117,41,371
118,43,357
119,45,345
120,48,336
121,49,329
122,50,324
123,52,321
124,53,320
125,55,320
126,56,322
127,56,326
128,59,332
129,60,340
130,61,348
131,62,360
132,63,371
133,64,385
134,68,366
135,72,343
136,78,321
137,85,299
138,89,282
139,96,265
140,101,251
141,106,238
142,112,227
143,117,217
144,123,209
145,128,202
146,135,198
147,140,195
148,145,195
149,151,196
150,157,199
151,163,203
152,168,209
153,171,204
154,171,194
155,170,185
156,169,178
157,168,172
158,167,168
159,166,166
160,166,166
161,165,167
162,164,171
163,164,176
164,163,184
165,162,193
166,161,203
167,160,217
168,159,232
169,159,249
170,157,268
171,157,284
172,159,275
173,163,262
174,166,253
175,170,245
176,173,238
177,177,234
178,180,231
179,183,229
180,186,230
181,190,234
182,193,239
183,196,246
184,199,255
185,202,266
186,206,278
187,206,262
188,207,245
189,207,229
190,207,215
191,207,203
192,208,194
193,209,185
194,209,180
195,209,176
196,210,174
197,210,174
198,210,178
199,210,182
200,210,188
201,209,194
202,209,183
203,208,174
204,208,166
205,208,160
206,207,155
207,206,153
208,206,153
209,205,155
210,205,158
211,204,164
212,203,172
213,202,182
214,203,195
215,201,211
216,201,228
217,199,247
218,199,268
219,197,292
220,196,318
221,195,346
222,193,377
223,192,408
224,190,440
225,187,423
226,184,402
227,181,385
228,178,370
229,175,358
230,171,347
231,168,339
232,165,333
233,162,329
234,158,327
235,155,327
236,153,329
237,150,325
238,153,309
239,154,294
240,155,282
241,157,268
242,159,257
243,161,249
244,162,242
245,164,238
246,165,236
247,167,237
248,171,237
249,174,241
250,175,250
251,176,262
252,178,266
253,180,233
254,182,184
255,181,141
256,179,98
