frame,x,y
0,179,454
1,178,455
2,178,455
3,178,455
4,178,456
5,180,455
6,178,456
7,178,457
8,177,457
9,177,457
10,175,457
11,176,456
12,175,456
13,174,456
14,174,456
15,174,457
16,173,458
17,173,458
18,172,458
19,171,458
20,171,458
21,170,459
22,170,459
23,169,460
24,169,460
25,169,460
26,169,459
27,169,460
28,170,460
29,171,459
30,172,459
31,172,459
32,172,459
33,172,460
34,173,459
35,175,459
36,175,459
37,175,458
38,175,458
39,176,458
40,176,459
41,177,457
42,178,458
43,179,458
44,179,458
45,178,456
46,179,457
47,181,458
48,181,458
49,181,458
50,181,458
51,180,457
52,181,458
53,181,458
54,181,458
55,181,458
56,181,458
57,181,457
58,181,457
59,180,458
60,180,457
61,180,457
62,181,457
63,182,458
64,183,458
65,182,456
66,183,457
67,183,457
68,184,457
69,183,457
70,183,458
71,183,457
72,183,457
73,183,457
74,184,456
75,184,457
76,184,456
77,184,456
78,184,456
79,185,455
80,183,455
81,183,454
82,182,454
83,182,453
84,179,451
85,178,450
86,178,450
87,176,449
88,175,448
89,176,450
90,175,450
91,174,450
92,174,450
93,173,450
94,173,450
95,175,450
96,175,449
97,175,449
98,175,449
99,175,449
100,175,449
101,175,450
102,174,450
103,175,450
104,175,449
105,175,450
106,175,450
107,172,450
108,171,450
109,173,449
110,174,450
111,173,449
112,174,449
113,174,449
114,174,449
115,175,448
116,175,448
117,175,446
118,174,447
119,176,445
120,176,445
121,176,444
122,176,443
123,176,443
124,175,443
125,175,441
126,175,442
127,175,441
128,175,442
129,175,441
130,175,440
131,176,440
132,176,439
133,176,439
134,175,438
135,174,436
136,173,437
137,172,435
138,173,434
139,173,435
140,172,433
141,171,432
142,173,433
143,174,431
144,173,433
145,173,433
146,174,432
147,173,432
148,174,432
149,172,430
150,172,429
151,173,429
152,173,428
153,174,429
154,174,428
155,176,428
156,176,427
157,177,427
158,178,427
159,179,426
160,179,426
161,181,427
162,180,425
163,178,426
164,181,426
165,181,424
166,181,424
167,180,422
168,182,422
169,182,423
170,181,421
171,180,421
172,182,421
173,182,422
174,183,420
175,184,420
176,184,420
177,184,420
178,184,420
179,184,419
180,183,418
181,183,418
182,185,419
183,185,419
184,187,417
185,186,418
186,186,417
187,186,415
188,183,411
189,186,408
190,187,408
191,187,405
192,187,402
193,187,397
194,188,394
195,186,393
196,185,388
197,188,384
198,182,379
200,187,367
201,186,362
202,184,359
203,182,356
204,180,355
205,178,354
206,176,355
207,178,354
208,173,358
209,170,363
210,167,373
211,167,376
212,173,365
213,174,365
214,171,354
216,178,353
217,186,342
218,189,340
219,184,339
220,188,340
221,190,342
222,192,346
223,196,361
224,202,360
225,201,354
226,204,336
227,206,321
228,209,307
229,212,293
230,213,285
231,218,272
232,216,271
233,214,262
234,223,256
235,221,252
236,224,250
237,229,249
238,227,253
239,231,256
240,231,262
241,231,271
242,231,281
243,232,292
244,236,303
245,233,318
246,236,329
247,238,345
248,237,351
249,234,339
250,235,327
251,230,317
252,228,309
253,221,309
254,221,306
255,221,299
256,215,299
257,224,299
258,221,299
260,213,306
261,212,313
262,207,323
263,203,328
264,203,339
265,197,351
266,196,364
267,192,377
268,190,374
269,190,362
270,190,356
271,191,346
272,190,339
273,192,335
274,191,335
275,191,332
276,192,332
277,192,333
278,192,335
279,192,340
280,193,340
281,193,347
282,193,359
283,194,367
284,195,372
285,198,356
286,198,342
287,205,330
288,204,320
289,204,311
290,204,303
291,201,298
292,201,295
293,203,288
294,202,289
295,204,287
296,204,292
297,206,290
298,208,293
299,208,308
300,206,299
301,206,292
302,205,282
303,204,277
304,203,271
305,203,266
306,201,262
307,200,259
308,201,258
309,201,260
310,199,263
311,200,268
312,198,275
313,196,285
314,195,293
315,192,304
316,191,317
317,188,330
318,184,348
319,182,365
320,185,360
321,187,347
322,198,337
323,201,327
324,201,321
325,207,314
326,214,309
327,216,306
328,224,301
329,232,298
330,236,298
331,235,304
332,238,310
333,245,316
334,251,323
335,257,332
336,261,343
337,265,357
338,268,370
339,273,358
340,273,334
341,277,315
342,280,300
343,282,287
344,276,278
345,278,267
346,277,261
347,286,256
348,278,255
349,282,252
350,284,252
351,285,254
352,283,255
353,285,260
354,279,269
355,280,275
356,282,279
357,284,287
358,283,296
359,281,309
360,279,321
361,279,332
362,285,344
363,280,334
364,279,331
365,274,324
366,271,319
367,266,315
368,263,314
369,260,314
370,257,313
371,252,315
372,252,316
373,250,321
374,246,327
375,241,338
376,241,344
377,239,354
378,236,365
379,229,380
380,223,397
381,218,399
382,216,390
383,209,387
384,204,380
385,195,372
386,188,368
387,181,367
388,175,367
389,169,368
390,165,369
391,159,374
392,152,381
393,146,389
394,139,394
395,142,387
396,150,380
397,149,374
398,153,369
399,157,363
400,162,361
401,168,361
402,170,365
403,174,372
404,175,375
405,177,379
406,180,386
407,183,393
408,184,389
409,188,376
410,186,365
411,186,361
412,187,355
413,186,350
414,184,346
415,184,344
416,180,347
417,181,348
418,184,349
419,181,358
420,181,366
421,181,373
422,181,381
423,181,392
424,181,403
425,180,408
426,180,401
427,179,398
428,179,394
429,179,393
430,180,393
431,181,394
432,182,396
433,182,396
434,180,403
435,179,409
436,180,412
437,179,403
438,176,393
439,174,383
440,172,375
441,170,368
442,169,361
443,166,357
444,161,353
445,161,351
446,158,351
447,158,355
448,153,357
449,150,362
450,147,338
451,145,310
452,146,279
453,150,251
454,149,229
455,156,208
456,156,188
457,153,170
458,154,153
459,154,138
460,152,125
461,149,115
462,151,106
463,160,100
464,155,97
465,154,94
466,169,101
467,157,98
468,165,106
471,159,130
472,165,141
473,159,154
474,169,171
475,170,185
476,159,204
477,167,224
478,168,243
479,165,261
480,160,281
481,162,300
482,162,297
483,163,285
484,165,274
485,168,265
486,164,254
487,166,248
488,167,242
489,168,235
490,171,233
491,172,233
492,173,231
493,175,232
494,176,232
495,179,239
496,178,244
497,183,247
498,184,256
499,185,265
500,186,276
501,185,290
502,186,297
503,186,284
504,187,276
505,186,267
506,187,259
507,188,251
508,190,250
509,194,241
510,193,241
511,195,242
512,194,243
513,194,246
515,196,258
516,197,264
517,197,274
518,196,282
519,198,292
520,191,297
521,194,286
522,193,275
523,193,266
524,192,260
526,197,250
527,205,254
528,205,260
529,202,262
530,198,267
531,203,273
532,201,284
533,201,293
534,199,306
535,201,321
536,200,314
537,197,301
538,197,287
539,200,276
540,199,266
541,198,261
542,200,246
543,196,244
544,191,242
546,203,237
547,191,237
548,185,238
549,185,247
550,189,253
551,189,265
552,186,278
553,178,294
554,178,303
555,173,294
556,172,281
557,166,273
558,164,266
559,164,264
560,160,256
561,162,257
562,159,257
563,153,262
564,155,263
565,152,269
566,149,278
567,151,287
568,149,300
569,149,312
570,147,326
571,146,341
572,141,358
573,140,376
574,141,391
575,139,408
576,138,410
577,141,401
578,144,394
579,148,388
580,146,382
581,146,377
582,148,375
583,148,376
584,151,376
585,152,379
586,154,382
587,158,389
588,160,393
589,161,401
590,161,410
