frame,x,y
0,226,420
1,228,423
2,227,427
3,227,434
4,227,440
5,228,451
6,231,454
7,230,438
8,230,428
9,227,418
10,229,409
11,229,405
12,229,403
13,229,401
14,230,399
15,230,400
16,229,404
17,230,410
18,228,420
19,228,432
20,229,443
21,228,456
22,228,453
23,231,438
24,231,426
25,233,417
26,234,409
27,235,403
28,238,400
29,239,396
30,242,397
31,242,397
32,245,403
33,246,409
34,248,418
35,249,429
36,248,444
37,252,443
38,253,428
39,253,416
40,256,404
41,256,393
42,255,388
43,255,384
44,254,380
45,253,381
46,256,384
47,255,386
48,257,392
49,257,403
50,257,414
51,255,426
52,255,441
53,255,457
54,257,444
55,259,423
56,263,408
57,266,394
58,269,384
59,273,375
60,277,366
61,279,363
62,280,358
63,282,355
64,282,359
65,287,361
66,288,365
67,291,373
68,294,384
69,294,396
70,298,409
71,301,424
72,301,427
73,292,400
74,282,378
75,276,358
76,266,338
77,260,321
78,254,306
79,244,292
80,237,285
81,229,278
82,219,274
83,211,269
84,202,266
85,194,266
86,184,268
87,176,274
88,169,280
89,162,286
90,153,291
91,147,274
92,148,258
93,143,244
94,137,232
95,129,223
96,128,214
97,123,206
98,116,201
99,109,198
100,103,200
101,98,204
102,92,207
103,94,214
104,88,223
105,81,232
106,78,245
107,74,260
108,68,276
109,62,291
110,58,313
111,54,336
112,51,359
113,26,358
114,26,380
115,26,376
116,26,358
117,26,343
118,26,329
119,26,318
120,26,310
121,26,301
122,26,296
123,26,293
124,26,292
125,26,295
126,27,297
127,29,300
128,30,305
129,33,313
130,35,322
131,36,332
132,37,345
133,39,357
134,41,340
135,46,315
136,51,293
137,56,273
138,88,282
139,93,263
140,100,249
141,106,236
142,112,226
143,117,215
144,123,208
145,128,203
146,134,199
147,140,197
148,146,196
149,149,195
150,155,201
151,161,202
152,166,208
153,169,203
154,169,192
155,170,185
156,168,177
157,167,173
158,165,168
159,165,166
160,164,165
161,163,166
162,162,171
163,162,177
164,161,184
165,163,193
166,160,206
167,162,218
168,160,234
169,158,252
170,158,270
171,157,285
172,161,275
173,164,264
174,167,254
175,171,246
176,174,240
177,178,236
178,180,233
179,184,232
180,186,233
181,187,237
182,191,241
183,193,249
184,197,257
185,200,268
186,203,279
187,202,263
188,203,245
189,204,230
190,205,216
191,206,204
192,207,192
193,207,186
194,206,179
195,209,177
196,209,177
197,209,179
198,209,180
199,209,182
200,209,188
201,209,193
202,208,185
203,207,176
204,208,168
205,207,162
206,205,157
207,206,155
208,206,155
209,203,156
210,203,160
211,201,166
212,202,174
213,200,183
214,199,196
215,199,210
216,199,226
217,198,246
218,197,268
219,196,292
220,195,316
221,195,346
222,194,377
223,193,410
224,192,441
225,187,422
226,184,403
227,180,385
228,178,370
229,174,356
230,171,345
231,168,337
232,164,331
233,162,327
234,157,327
235,152,327
236,149,329
237,146,326
238,147,310
239,148,296
240,150,282
241,150,268
242,154,257
243,160,249
244,161,244
245,163,239
246,165,239
247,167,239
248,168,242
249,170,246
250,175,256
251,176,269
252,176,268
253,178,226
254,182,181
255,180,135
256,179,90
