frame,x1,y1,x2,y2,label
6,195,436,227,467,2
12,193,410,224,441,
18,186,441,215,473,3
24,181,413,215,447,
30,179,441,212,475,2
37,173,405,203,439,
43,163,439,194,470,3
51,166,377,200,413,
58,167,414,205,451,2
63,171,385,202,419,
71,170,439,204,473,3
78,188,398,218,431,
85,203,441,236,476,2
93,203,382,234,414,
101,198,438,232,473,3
108,208,390,237,419,
115,206,427,239,460,2
127,208,288,244,322,
132,206,310,239,342,5
138,188,279,222,314,
143,172,302,206,335,4
151,177,260,212,292,
158,183,303,218,335,5
163,167,279,205,316,
174,128,410,166,446,2
