frame,x,y
0,177,454
1,178,454
2,178,454
3,178,454
4,179,454
5,179,455
6,178,455
7,178,455
8,177,455
9,176,455
10,176,455
11,176,455
12,176,456
13,175,456
14,174,455
15,174,456
16,174,457
17,174,456
18,173,457
19,173,456
20,173,457
21,172,457
22,171,457
23,171,457
24,171,457
25,171,459
26,171,458
27,171,458
28,172,458
29,172,458
30,172,458
31,172,458
32,174,458
33,173,458
34,173,458
35,174,458
36,174,458
37,174,458
38,174,458
39,175,458
40,175,458
41,176,458
42,176,458
43,177,458
44,178,458
45,178,458
46,179,458
47,180,458
48,180,458
49,181,458
50,181,457
51,181,458
52,181,458
53,181,457
54,180,458
55,182,457
56,181,457
57,181,456
58,182,457
59,181,457
60,182,456
61,182,457
62,183,457
63,182,457
64,182,457
65,183,457
66,183,457
67,183,457
68,183,458
69,183,458
70,183,458
71,183,458
72,184,457
73,184,457
74,183,456
75,184,457
76,184,457
77,184,457
78,184,456
79,184,456
80,184,456
81,184,455
82,183,454
83,183,453
84,182,453
85,181,452
86,180,451
87,179,450
88,178,450
89,177,450
90,176,450
91,176,450
92,175,450
93,175,449
94,174,450
95,174,451
96,174,451
97,174,451
98,174,451
99,174,451
100,174,451
101,174,451
102,174,451
103,174,450
104,174,450
105,174,451
106,174,450
107,174,450
108,174,449
109,174,449
110,174,449
111,174,449
112,175,449
113,175,449
114,175,448
115,175,448
116,175,448
117,176,448
118,176,448
119,176,447
120,176,446
121,176,446
122,176,446
123,176,445
124,176,445
125,176,444
126,176,443
127,176,443
128,176,442
129,176,442
130,176,441
131,176,441
132,176,440
133,176,440
134,176,440
135,175,439
136,176,439
137,176,438
138,175,437
139,175,436
140,174,435
141,174,434
142,174,434
143,174,434
144,173,434
145,173,433
146,174,432
147,173,433
148,173,432
149,173,432
150,173,431
151,173,430
152,173,430
153,174,429
154,175,429
155,176,429
156,177,429
157,177,429
158,178,429
159,179,428
160,179,428
161,180,428
162,180,428
163,181,427
164,181,426
165,181,426
166,183,426
167,183,425
168,183,424
169,184,423
170,184,422
171,184,421
172,185,420
173,185,420
174,185,420
175,185,419
176,185,419
177,185,419
178,186,419
179,186,418
180,186,418
181,186,418
182,187,419
183,187,419
184,187,419
185,187,419
186,189,418
187,189,417
188,189,414
189,189,412
190,189,408
191,189,406
192,188,404
193,189,400
194,189,398
195,189,395
196,189,392
197,189,390
198,189,384
199,189,378
200,186,371
201,185,367
202,184,363
203,184,360
204,182,360
205,182,360
206,180,360
207,180,362
208,177,365
209,177,369
210,176,374
211,176,378
212,177,372
213,178,365
214,181,360
215,183,355
216,185,351
217,188,349
218,190,347
219,191,347
220,193,348
221,195,351
222,197,355
223,199,360
224,202,367
225,204,360
226,208,345
227,210,330
